	 0    1   0    2   0    3   0    4   1    1   1    2   1    3   1    4   2    1   2    2   2    3   2    4  
0 0 0|  0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   
0 0 1|  -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   0.67   -1000.00   -1000.00   -1000.00   
0 0 2|  -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -0.68   0.66   -1000.00   -1000.00   
0 0 3|  -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   0.42   -0.55   0.75   -1000.00   
0 0 4|  -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   0.69   0.27   -0.10   0.10   
0 1 0|  -1000.00   -1000.00   -1000.00   -1000.00   0.65   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   
0 1 1|  -1000.00   -1000.00   -1000.00   -1000.00   -0.90   -1000.00   -1000.00   -1000.00   -0.68   -1000.00   -1000.00   -1000.00   
0 1 2|  -1000.00   -1000.00   -1000.00   -1000.00   0.67   -1000.00   -1000.00   -1000.00   0.68   -0.61   -1000.00   -1000.00   
0 1 3|  -1000.00   -1000.00   -1000.00   -1000.00   0.69   -1000.00   -1000.00   -1000.00   -0.05   0.66   -0.63   -1000.00   
0 1 4|  -1000.00   -1000.00   -1000.00   -1000.00   0.53   -1000.00   -1000.00   -1000.00   0.54   -0.10   0.68   -0.68   
0 2 0|  -1000.00   -1000.00   -1000.00   -1000.00   -0.75   0.73   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   
0 2 1|  -1000.00   -1000.00   -1000.00   -1000.00   0.68   -0.67   -1000.00   -1000.00   0.64   -1000.00   -1000.00   -1000.00   
0 2 2|  -1000.00   -1000.00   -1000.00   -1000.00   -0.08   0.67   -1000.00   -1000.00   -0.18   0.62   -1000.00   -1000.00   
0 2 3|  -1000.00   -1000.00   -1000.00   -1000.00   -0.10   0.72   -1000.00   -1000.00   0.48   -0.01   0.43   -1000.00   
0 2 4|  -1000.00   -1000.00   -1000.00   -1000.00   -0.07   0.69   -1000.00   -1000.00   0.39   0.28   -0.02   0.12   
0 3 0|  -1000.00   -1000.00   -1000.00   -1000.00   0.68   -0.57   0.45   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   
0 3 1|  -1000.00   -1000.00   -1000.00   -1000.00   0.16   0.69   -0.73   -1000.00   0.59   -1000.00   -1000.00   -1000.00   
0 3 2|  -1000.00   -1000.00   -1000.00   -1000.00   0.69   -0.04   0.57   -1000.00   0.32   0.63   -1000.00   -1000.00   
0 3 3|  -1000.00   -1000.00   -1000.00   -1000.00   0.68   0.08   0.32   -1000.00   0.50   0.47   0.49   -1000.00   
